Item Lookup Code,Department,Category,Description,Quantity Sold,Sales,Last Sold,Cost,Cost Sold,Non Sale Movement,Last Received
Grand Summaries,,,,,,,,,,
,,,,"24,119.00","314,789.49","#,#.00","18,743.95","227,923.80","39,563.00","#,#.00"
FP208,,,SINGLE HIT PIPE,10,$17.50,4/15/2025 10:27,$1.00,$10.00,0,
FREIGHT,FREIGHT OR SERVICE CHARGE,,FREIGHT CHARGE,4,"$4,052.57",5/9/2025 17:01,$0.00,$0.00,0,12/30/2020 12:43
GARBAGE BAG 38x58,PLASTIC/PAPER GOODS,,BLACK GARBAGE BAG 38x58-55GAL,192,"$3,758.50",5/9/2025 11:25,$18.26,"$3,505.92",0,8/10/2016 15:34
GARBAGE BAG 40x46,PLASTIC/PAPER GOODS,,BLACK GARBAGE BAG 40x46 -45GAL,10,$185.00,5/5/2025 16:26,$16.00,$160.00,0,8/10/2016 15:34
GARBAGEBAG33/39,PLASTIC/PAPER GOODS,PLASTIC BAGS,GARBAGE BAG 33/39,2,$53.00,4/28/2025 14:16,$7.65,$15.30,0,6/12/2024 17:07
GIFTBAG,LIQUOR SUPPLIES,,GIFT BAG 12CT,7,$94.50,5/12/2025 10:44,$8.50,$59.50,0,1/24/2025 11:47
GLASS COKE,FOOD & BEVERAGE,SODA,COCA COLA GLASS BOTTLE,6,$228.00,5/6/2025 14:11,$33.99,$203.94,0,1/24/2025 14:24
GOFRESH,PLASTIC/PAPER GOODS,GO FRESH BAGS,GO FRESH BAG,9267,"$83,403.00",4/23/2025 13:09,$8.32,"$77,101.44",0,9/19/2023 14:50
GOKUL,WRAPS/FILTERS/HEMP/CONES,,GOKUL INCENSE ASSORTED 6CT,5,$12.50,5/6/2025 15:13,$0.95,$4.75,0,6/12/2023 11:48
GWBAG,PLASTIC/PAPER GOODS,,GARBAGE BAG 38/58,5,$110.00,4/23/2025 11:31,$21.50,$107.50,0,9/19/2023 14:50
IMB100,SMOKE SUPPLIES,PIPES,5 INSIDE OUT MED BUBBLER,2,$10.00,4/8/2025 16:49,$2.75,$5.50,0,5/21/2018 16:00
JEWELRY ZIPLOCK BAGS 50CT,SMOKE SUPPLIES,,JEWELRY ZIPLOCK BAGS 50CT,1,$3.00,4/29/2025 12:12,$2.00,$2.00,0,
LIFESTYLEJAR,MEDS/DAILY CARE,,LIFE STYLE LOOSE JAR 48 CT,2,$26.00,4/19/2025 12:11,$10.50,$21.00,0,7/5/2023 16:07
MACHINEPALLETWRAP,,,MACHINE PALLET WRAP 6500,98,"$4,704.00",4/29/2025 14:19,$42.00,"$4,116.00",0,
METALSLIDE,SMOKE SUPPLIES,PIPES,METAL SLIDE MEDIUM RJ-7,10,$12.00,4/15/2025 16:34,$0.50,$5.00,0,5/21/2018 16:00
MONSTER,FOOD & BEVERAGE,ENERGY DRINK,MONSTER GREEN 16 OZ 24CT,74,"$2,997.00",5/10/2025 11:04,$36.00,"$2,442.00",0,5/1/2025 14:39
MONSTER GRONK 16OZ,FOOD & BEVERAGE,,MONSTER GRONK 16OZ,2,$81.00,4/19/2025 10:42,$34.00,$68.00,0,9/16/2019 14:40
OG CHILLIUM SINGLE ,SMOKE SUPPLIES,,OG CHILLIUM SINGLE ,204,$420.00,4/30/2025 12:35,$0.65,$132.60,0,8/13/2020 15:02
