Department,Category,Item Lookup Code,Description,Price
TOBACCO,45mg VAPE,8.59856E+11,MR FOG MAX BLUE RASP CHERRY,95
TOBACCO,45mg VAPE,6.02002E+11,VIVA MANGO STRAWBERRY,5.5
TOBACCO,45mg VAPE,6.97158E+12,HQD CUVIE PLUS RED ICE,48
TOBACCO,,6.97158E+12,HQD CUVIE PLUS GRAPEY,48
TOBACCO,45mg VAPE,6.97158E+12,HQD CUVIE PLUS LUSH ICE,48
TOBACCO,,6.97158E+12,HQD CUVIE PLUS BLUE RASPBERRY,48
TOBACCO,,6.97158E+12,HQD CUVIE PLUS PINK LEMON,48
TOBACCO,45mg VAPE,6.97158E+12,HQD CUVIE PLUS STRAWBERRY,48
TOBACCO,,6.97158E+12,HQD CUVIE PLUS MANGO GUAVA,48
TOBACCO,,6.97158E+12,HQD CUVIE PLUS BLUEBERRY,48
TOBACCO,,6.97158E+12,HQD CUVIE PLUS ICE MINT,48
TOBACCO,,6.97383E+12,HQD PEACH MANGO,48
TOBACCO,45mg VAPE,6.97158E+12,HQD CUVIE PLUS BLACK ICE,48
TOBACCO,45mg VAPE,8.59856E+11,MR FOG MAX RASP STRAW LYCHEE,98
TOBACCO,,6.97383E+12,HQD GRACURRANT,48
TOBACCO,SMOKE TOBACCO,077170460316,TOP REGULAR SUPER ROLL 4.8OZ,29.5
TOBACCO,60CT CIGAR,025900426842,SWISHER  COCA BLUE 30PK2CT,27.5
TOBACCO,45mg VAPE,8.59856E+11,MR FOG MAX ORANGE PEACH PINE,95
TOBACCO,60CT CIGAR,071610752870,AYC GRENADIERS 5PK 30COUNT,40.76
TOBACCO,SMOKE TOBACCO,090600061259,PREMIER BLUE TOBACCO 8OZ,35
TOBACCO,45mg VAPE,8.1196E+11,ESCO BAR FIJI MELON 2500 10PK,85
TOBACCO,45mg VAPE,7.5362E+11,ESCO BAR GRAPE ICE 2500 10PK,85
TOBACCO,45mg VAPE,8.50037E+11,ESCO BAR WHITE GUMMY 2500 10PK,85
TOBACCO,45mg VAPE,6.51357E+11,ESCO BAR BLUERASP 2500 10PK,85
TOBACCO,45mg VAPE,6.51357E+11,ESCO BAR RED APPLE 2500 10PK,85
TOBACCO,45mg VAPE,6.43934E+11,ESCO BAR BANANA ICE 2500 10PK,85
TOBACCO,45mg VAPE,8.1196E+11,ESCO BAR KIWIDRAGON 2500 10PK,85
TOBACCO,45mg VAPE,6.97487E+12,HQD 4500 SOUR APPLE 10PK,86.5
TOBACCO,45mg VAPE,8.50039E+11,ESCO BAR ICY MINT 2500 10PK,85
TOBACCO,60CT CIGAR,1.086E+13,THROWBACK 5PK SWEET AROMATIC,32
TOBACCO,60CT CIGAR,031700001295,GARCIA VEGA FOIL 5 10PK 50CT,42.75
TOBACCO,45mg VAPE,6.93711E+12,HQD 5K LUSH ICE 5PK,47.5
TOBACCO,45mg VAPE,6.93711E+12,HQD 5K BLUEBERRY 5PK,47.5
TOBACCO,45mg VAPE,6.97487E+12,HQD 4500 PEACH MANGO PINE 10PK,86.5
TOBACCO,45mg VAPE,6.97487E+12,HQD 4500 KIWI STRAWBERRY 10PK,86.5
TOBACCO,45mg VAPE,6.93711E+12,HQD 5K GREEN APPLE 5PK,47.5
TOBACCO,45mg VAPE,6.93711E+12,HQD 5K STRAWBANANA 5PK,47.5
TOBACCO,45mg VAPE,6.93711E+12,HQD 5K MINT 5PK,47.5
TOBACCO,45mg VAPE,6.93711E+12,HQD 5K BLACK ICE 5PK,47.5
TOBACCO,60CT CIGAR,8.42426E+11,GOODTIMES DIAMOND,10.25
TOBACCO,45mg VAPE,6.51357E+11,ESCO BAR SPEARMINT 2500 10PK,85
TOBACCO,60CT CIGAR,031700238400,WHITE OWL DRAGONFRUIT 2/99 60C,25.99
TOBACCO,60CT CIGAR,025900303631,SWISHER BANANA DAIQUIR30PK 2CT,24.99
TOBACCO,60CT CIGAR,031700237014,WHITEOWL WHITE CHO 99 30CT 2PK,24.75
TOBACCO,60CT CIGAR,8.42426E+11,GOODTIMES SWEET 15PK 3CT,10.25
TOBACCO,SMOKE TOBACCO,027200005314,KITE MENTHOL CAN 6OZ,35
TOBACCO,60CT CIGAR,025900277239,SWISHER REG TIP5FR3 10PK5CT,48.5
TOBACCO,60CT CIGAR,031700009642,WHITE OWL HONEY 2/99,25.99
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR MANGO ICE 10PK 5K PUFF,82.5
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR WATERMELON 10PK 5K PUF,82.5
TOBACCO,60CT CIGAR,025900297671,SWISHER SWEET BLK WINE 2/99,13.5
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR STRAWMANGO 10PK 5KPUFF,82.5
TOBACCO,45mg VAPE,6.97487E+12,HQD 4500 MINT 10PK,86.5
TOBACCO,60CT CIGAR,031700420058,GAME RED 2/99 30CT,27.5
TOBACCO,60CT CIGAR,025900296346,SWISHER SWEET GREEN 2/99,25.99
